"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
0.034	1.243	0.196
0	1.31	0.182
0	1.145	0.168
0	1.388	0.155
0	0.576	0.145
0.721	1.537	0.148
0.017	1.411	0.185
0.12	1.399	0.192
0.086	1.618	0.176
0	1.732	0.156
0.137	1.241	0.138
0.086	1.188	0.131
0	0.874	0.126
0.103	0.98	0.117
0	1.224	0.111
0	1.323	0.103
0	1.395	0.094
0.326	1.493	0.091
0.206	1.513	0.108
0.069	1.382	0.122
0.034	1.392	0.117
0	1.314	0.102
1.528	1.216	0.134
0.515	1.16	0.222
0.464	1.44	0.27
0.172	1.514	0.258
0.91	1.587	0.224
2.592	1.363	0.342
0.052	1.715	0.466
3.313	1.221	0.63
0.017	1.2	0.712
0.069	1.365	0.632
0.326	1.686	0.462
0.927	1.149	0.344
1.717	1.347	0.362
0	1.287	0.413
0.017	1.245	0.368
0.189	1.713	0.271
0.326	1.108	0.202
0.858	1.473	0.185
2.575	1.258	0.328
0.961	1.306	0.48
0.258	0.809	0.521
0.206	1.506	0.432
0.017	1.352	0.313
0.017	1.189	0.213
0.704	0.827	0.157
0.086	1.45	0.161
0.017	1.51	0.153
0	1.857	0.123
0.034	1.424	0.093
0.034	1.539	0.075
0	1.734	0.065
0.034	1.672	0.057
0.154	1.239	0.055
1.305	1.619	0.081
0.034	1.474	0.157
0	1.651	0.169
0.017	1.455	0.127
0	1.845	0.085
0.532	1.724	0.065
0.103	1.661	0.084
0.052	1.456	0.09
0.069	1.633	0.078
0.807	1.291	0.075
0.601	1.185	0.118
0	1.776	0.154
0	2.095	0.133
0	1.831	0.09
0.052	2.219	0.056
0.549	2.077	0.049
0.258	1.535	0.077
1.391	1.968	0.116
0	2.061	0.184
1.7	1.716	0.21
0.189	2.124	0.258
0.549	2.119	0.25
0	2.181	0.208
1.631	1.807	0.172
0.017	2.02	0.212
0.515	1.82	0.205
1.442	1.466	0.198
0	2.383	0.235
0	2.284	0.205
0	2.284	0.134
0.172	2.531	0.078
0.481	2.536	0.061
0	2.634	0.076
0.052	2.538	0.071
3.21	2.357	0.145
1.511	2.162	0.341
0.652	1.794	0.468
2.627	2.421	0.486
1.751	2.121	0.537
1.494	2.35	0.574
0.618	2.071	0.545
0	2.778	0.436
0	2.368	0.285
0.052	2.464	0.161
1.837	2.548	0.117
3.159	2.706	0.264
0.36	2.908	0.462
1.099	2.276	0.482
0.721	2.706	0.418
0.12	2.908	0.339
0.017	2.454	0.238
0.172	2.375	0.148
1.785	3.157	0.122
0.086	3.172	0.196
0.034	2.635	0.204
0.858	2.591	0.159
1.528	2.419	0.175
3.571	3.027	0.32
0	2.985	0.508
0.103	3.474	0.479
0.772	2.834	0.334
0.223	2.548	0.243
0.567	2.948	0.188
5.511	2.009	0.362
5.528	2.707	0.878
1.236	2.557	1.244
0.086	2.662	1.179
0.292	3.731	0.84
0	3.516	0.525
0.103	3.242	0.314
0	2.859	0.195
0.755	3.298	0.142
0.772	3.047	0.163
1.614	2.653	0.223
0.052	3.5	0.298
2.403	3.959	0.31
0.052	3.865	0.37
3.262	3.822	0.384
0.206	3.945	0.475
0.446	3.593	0.445
0.601	3.535	0.34
0.91	3.273	0.268
0.481	3.436	0.248
5.407	3.814	0.36
4.875	3.281	0.767
0.36	2.596	1.062
1.116	3.329	0.963
4.841	3.681	0.827
2.558	3.35	0.896
2.506	3.196	0.956
0	4.382	0.891
0.532	4.136	0.661
0.034	3.795	0.433
7.759	3.204	0.531
0	4.766	0.876
1.013	4.484	0.917
1.768	3.076	0.741
0.772	3.59	0.614
1.425	3.531	0.516
0.275	3.796	0.454
1.906	3.964	0.388
0.532	3.913	0.393
0.772	3.22	0.369
0.172	3.492	0.318
1.081	3.602	0.257
3.416	3.737	0.293
3.262	3.599	0.503
0.979	3.394	0.696
0.584	3.775	0.667
0.292	3.518	0.504
0.086	4.283	0.335
0.069	3.947	0.204
1.047	4.126	0.137
3.09	3.911	0.2
1.734	3.623	0.399
6.815	3.763	0.708
12.12	3.274	1.585
5.596	3.966	2.563
2.215	4.025	2.753
0.79	3.472	2.268
1.013	4.047	1.589
0.532	3.967	1.063
1.511	3.779	0.74
1.82	3.998	0.619
1.494	3.783	0.614
0.875	3.68	0.607
2.18	3.614	0.569
1.047	4.387	0.576
3.571	4.207	0.592
1.545	2.939	0.698
0.669	3.54	0.708
3.21	3.177	0.635
4.635	3.131	0.763
6.644	3.817	1.144
0.721	4.104	1.421
1.27	4.489	1.286
3.416	3.833	1.008
0.103	4.35	0.876
5.339	3.263	0.828
4.274	3.266	1.029
3.983	3.125	1.281
1.047	4.276	1.324
5.991	3.299	1.288
1.974	3.537	1.314
3.88	3.573	1.292
1.974	3.077	1.222
2.455	4.245	1.094
0.275	4.202	0.943
1.15	4.595	0.722
3.485	3.561	0.6
1.785	3.154	0.671
1.356	3.582	0.712
3.313	3.862	0.69
0.841	4.366	0.724
6.884	3.608	0.857
1.923	4.046	1.099
3.571	3.28	1.196
5.871	3.646	1.297
14.265	3.203	2.089
3.897	3.906	2.988
2.249	4.144	3.013
2.403	4.015	2.414
0.412	4.504	1.771
1.099	4.225	1.229
7.399	3.707	1.138
6.884	5.308	1.551
0.532	4.2	1.861
0.052	4.2	1.627
1.682	4.098	1.154
2.523	3.144	0.875
4.841	3.176	0.927
7.038	3.472	1.326
1.614	4.012	1.641
2.901	3.305	1.579
0.017	4.439	1.327
0	3.875	0.957
11.69	3.412	1.078
2.489	4.521	1.62
2.18	4.487	1.81
0.704	3.28	1.547
3.159	3.994	1.177
3.777	3.026	1.066
2.026	4.018	1.09
0.292	3.192	1.021
0.635	3.025	0.797
0.652	3.498	0.582
12.223	2.917	0.95
0.893	4.033	1.618
2.781	3.95	1.762
3.742	3.978	1.552
1.202	3.341	1.358
1.013	3.649	1.108
10.231	2.526	1.266
3.588	3.162	1.792
9.39	3.013	2.398
4.875	2.886	2.851
8.085	2.525	3.244
2.472	3.216	3.198
4.841	2.75	2.979
1.013	3.094	2.537
3.416	3.068	2.085
0.429	2.818	1.719
2.18	2.766	1.38
0.772	2.801	1.153
0.807	3.294	0.965
1.82	3.067	0.819
5.459	3.036	1.001
3.33	3.436	1.297
1.013	3.374	1.415
1.665	3.379	1.255
4.034	2.122	1.209
1.785	2.773	1.219
1.476	3.25	1.161
2.249	2.306	1.039
4.498	3.383	1.078
2.232	2.092	1.217
0.824	1.723	1.201
2.077	2.825	1.024
1.974	1.841	0.913
4.292	2.271	1.032
2.3	2.483	1.158
2.884	2.712	1.22
3.605	3	1.261
0.567	2.706	1.236
3.107	2.627	1.119
0.309	2.653	1.009
0.292	2.155	0.824
0.515	2.223	0.614
0.824	2.791	0.477
0.601	3.035	0.422
4.755	1.902	0.6
0.137	2.53	0.82
0.189	3.444	0.805
0.172	2.769	0.618
0.652	2.191	0.449
0.206	2.331	0.365
0.189	2.192	0.31
0.154	1.724	0.263
1.27	2.089	0.244
1.94	2.147	0.313
2.729	2.213	0.484
2.764	1.697	0.712
1.494	1.407	0.848
5.957	1.612	1.094
0.824	1.91	1.275
0.498	1.874	1.183
0.807	1.902	0.9
0.515	2.088	0.66
1.133	2.065	0.511
0.669	1.705	0.453
0.721	2.086	0.418
1.202	2.016	0.394
0.275	1.991	0.392
0.704	1.818	0.354
4.034	1.7	0.467
6.06	2.059	0.935
3.897	2.016	1.484
3.382	1.908	1.775
1.236	1.556	1.681
0.858	1.573	1.37
0.36	1.625	1.017
0.275	1.928	0.723
0.567	1.834	0.522
0.738	1.646	0.422
1.854	1.552	0.425
0.223	1.589	0.474
0.017	2.348	0.438
0	2.034	0.336
0.034	1.732	0.24
0.79	2.219	0.191
2.678	2.019	0.274
3.468	1.404	0.565
0.034	1.017	0.768
0.017	1.578	0.698
0.103	0.977	0.492
2.077	1.287	0.387
0.446	1.413	0.409
0	0.817	0.4
0	1.319	0.313
1.013	1.142	0.236
3.862	1.35	0.388
0.069	0.95	0.594
0	1.705	0.591
0	1.626	0.432
0.704	1.597	0.292
0.086	1.871	0.239
0.669	1.314	0.212
0.532	1.028	0.216
0.017	1.171	0.22
0	1.332	0.185
0.429	1.599	0.144
0	1.44	0.133
0	1.103	0.116
0	1.659	0.093
0.704	1.259	0.084
0	1.254	0.114
2.815	1.155	0.218
5.098	1.325	0.596
1.768	1.107	1.005
0.069	1.106	1.058
1.94	1.398	0.88
0.154	1.13	0.709
3.88	1.73	0.693
0.017	1.26	0.754
2.592	1.164	0.783
0.343	1.128	0.748
0.017	0.721	0.629
0.069	1.337	0.452
0.532	1.082	0.315
0	1.359	0.252
0.086	1.701	0.205
0.154	0.917	0.166
0.017	1.371	0.143
0	2.088	0.121
0	1.878	0.101
0	1.572	0.085
0.618	1.723	0.084
0.172	1.41	0.116
0.275	1.322	0.134
0.652	0.885	0.142
2.592	1.145	0.246
0.772	1.317	0.391
0.755	0.854	0.441
0.017	0.996	0.391
0	1.253	0.283
0	1.276	0.18
0	0.816	0.112
0	1.074	0.075
0	1.061	0.056
0	1.27	0.047
0.052	0.573	0.043
1.099	0.647	0.074
1.391	0.714	0.183
6.146	0.767	0.557
0.017	1.295	0.911
0.017	1.04	0.899
0	1.818	0.636
0	1.543	0.388
0	1.262	0.233
0.069	1.159	0.152
0.069	1.496	0.115
0.052	1.579	0.099
0.464	1.159	0.095
0.017	1.546	0.112
0.275	1.203	0.112
0.532	1.343	0.116
0.395	1.117	0.138
0.343	1.574	0.153
1.682	1.608	0.18
0.12	1.031	0.251
1.253	1.222	0.268
1.185	1.477	0.291
1.837	0.913	0.369
0.258	1.399	0.419
0.069	1.312	0.366
0.275	1.437	0.258
0.669	1.113	0.185
0.052	0.838	0.166
0	0.899	0.138
0.223	1.883	0.1
0	1.806	0.079
0.086	1.822	0.064
0	2.316	0.052
0	2.046	0.042
0	2.152	0.032
2.489	1.254	0.103
0.034	1.745	0.243
0.137	1.893	0.274
0.584	0.82	0.218
0.154	1.748	0.18
1.099	1.399	0.161
0.738	1.392	0.194
2.18	1.004	0.287
0.103	1.773	0.372
0.017	1.808	0.339
0.069	2.033	0.232
0.052	1.143	0.142
0.086	1.48	0.088
0.464	1.644	0.07
0.154	1.721	0.083
0	1.795	0.087
0.052	1.399	0.069
0.017	1.938	0.051
0	1.825	0.037
0	1.869	0.027
0	2.4	0.021
0	1.482	0.017
0	2.159	0.015
0.086	1.404	0.015
0.738	1.632	0.031
0.086	2.031	0.077
0.378	1.757	0.095
1.081	1.617	0.113
0.052	1.848	0.158
0.137	2.094	0.151
0.034	2.066	0.111
1.167	2.502	0.09
0.292	2.101	0.135
0.034	1.994	0.151
0.103	1.857	0.118
0.669	1.758	0.089
4.137	2.123	0.225
1.099	2.155	0.473
2.438	1.833	0.623
1.15	2.343	0.653
0.069	2.058	0.582
0.584	2.719	0.422
1.219	2.504	0.308
1.339	2.295	0.298
2.438	2.21	0.368
2.798	1.972	0.527
0.429	2.751	0.632
0	2.625	0.552
0.12	2.616	0.368
0.24	2.63	0.218
3.948	2.431	0.248
2.489	2.543	0.487
0.069	2.111	0.648
1.356	2.254	0.572
0.309	2.945	0.46
0.069	3.301	0.342
0.103	3.257	0.225
0.36	3.786	0.145
0.017	3.861	0.113
0	3.508	0.086
0	3.476	0.059
2.215	3.203	0.075
6.283	2.849	0.403
2.18	2.384	0.834
0.343	2.258	0.978
9.116	2.163	1.169
3.468	2.283	1.616
3.794	3.159	1.827
2.438	3.103	1.704
0.549	3.344	1.422
4.858	2.507	1.218
2.335	2.45	1.2
0	3.125	1.129
0	3.144	0.859
0	3.766	0.559
1.991	3.654	0.379
0.189	3.358	0.382
0.052	3.929	0.357
0.343	3.85	0.28
0.996	3.251	0.235
1.013	2.798	0.259
9.253	3.523	0.623
0.017	3.826	1.135
0.395	3.587	1.172
0.704	2.708	0.868
3.33	3.596	0.637
0.034	3.343	0.629
0.738	3.773	0.549
12.497	3.816	0.917
0.652	3.188	1.58
5.699	2.595	1.902
0	3.389	1.786
0.103	3.573	1.375
3.244	3.894	0.95
0	4.182	0.796
2.283	3.117	0.673
7.931	3.658	0.877
0	3.039	1.227
2.18	3.265	1.2
4.618	3.231	1.103
0.154	3.524	1.089
0.772	4.722	0.912
0.481	4.183	0.671
2.163	3.408	0.512
0.635	5.054	0.499
1.013	4.303	0.475
0.429	4.593	0.428
2.627	3.701	0.395
0.343	4.119	0.46
3.244	3.861	0.484
6.128	3.231	0.749
1.511	3.828	1.062
0.841	3.719	1.077
1.219	2.929	0.856
4.858	3.14	0.767
1.253	3.429	0.863
2.043	3.771	0.864
3.88	3.444	0.845
5.27	2.685	1.042
1.768	2.629	1.219
8.326	4.265	1.425
0.017	3.855	1.597
0.034	3.452	1.37
2.129	4.003	0.945
6.901	3.601	0.914
4.566	3.581	1.271
0.069	4.585	1.444
2.781	4.442	1.224
2.661	3.926	1.021
3.639	3.69	0.969
1.528	3.375	0.991
15.81	2.974	1.603
21.132	3.388	3.941
4.601	3.523	6.223
0.326	3.788	6.115
1.202	4.362	4.545
0.326	3.538	3.012
4.566	4.152	2.097
1.253	4.027	1.751
6.695	3.844	1.859
6.712	3.552	2.371
1.957	4.065	2.599
3.742	3.707	2.435
3.777	3.51	2.193
5.579	3.977	2.191
8.429	4.389	2.673
1.751	3.534	2.893
8.137	3.859	3.17
0.996	4.448	3.09
22.351	3.405	5.125
8.652	3.298	8.055
3.004	3.68	8.691
2.489	3.847	7.31
14.248	3.587	7.447
30.23	3.79	13.247
3.176	4.106	18.971
1.802	3.345	18.517
8.618	3.321	16.01
0.652	4.365	12.636
2.918	3.615	9.736
1.802	4.126	7.564
0.481	3.667	6.034
1.802	3.743	4.912
2.489	3.419	4.173
3.88	3.586	3.901
3.038	3.422	3.7
3.296	4.216	3.489
0.034	3.741	3.215
2.146	3.106	2.794
4.189	3.177	2.827
12.309	3.531	5.366
3.76	3.848	6.742
9.39	3.9	8.468
0.858	4.216	8.279
3.605	3.744	7.184
5.476	3.261	6.701
4.137	3.613	6.27
4.051	3.863	5.816
5.27	3.356	5.915
3.021	3.318	5.532
7.056	3.359	6.285
14.008	3.105	10.2
2.987	3.339	11.916
2.609	3.666	11.194
1.734	3.678	9.176
7.622	3.726	8.918
6.266	3.442	9.504
1.442	3.428	9.017
5.648	3.433	8.91
6.455	2.951	9.677
1.03	4.067	9.177
3.468	3.329	8.205
8.068	3.237	9.277
8.36	3.69	11.812
5.356	3.698	13.178
1.631	2.943	12.289
0.979	2.961	10.394
3.914	3.224	8.971
4.635	2.344	9.004
3.159	3.077	8.561
7.656	2.576	10.728
2.541	2.924	11.032
0.017	3.109	9.944
3.09	2.958	8.56
0.567	3.139	7.276
0.378	2.985	6.203
1.081	2.67	5.32
1.665	2.9	4.683
2.541	3.461	4.267
2.421	3.019	4.011
1.064	3.438	3.783
2.077	3.753	3.494
3.656	3.235	3.517
5.202	3.386	4.281
0.395	3.516	4.396
0	2.607	4.009
0.464	3.034	3.416
0.12	2.996	2.923
0.034	2.787	2.559
0.103	2.971	2.288
1.339	2.27	2.106
3.227	3.164	2.154
4.395	2.465	2.895
2.472	2.651	3.185
0.687	2.417	3.105
1.459	2.58	2.767
6.712	2.788	3.659
0.875	2.357	3.947
4.635	1.854	4.602
4.412	2.256	5.203
7.141	2.167	6.7
5.442	2.298	8.02
0.79	1.759	7.798
0.258	2.596	6.674
0	2.204	5.354
0.12	1.926	4.275
0.172	2.043	3.516
2.987	1.917	3.386
5.511	2.125	4.344
0.446	2.231	4.578
0	2.637	4.21
0.429	1.938	3.554
5.081	2.1	3.911
3.227	1.58	4.485
0.292	2.471	4.418
0.343	2.257	3.899
0.086	2.21	3.267
0.206	2.051	2.735
3.09	2.174	2.669
0	2.921	2.593
0.309	2.028	2.385
0.378	1.969	2.107
0.567	2.134	1.873
1.717	1.721	1.753
0.893	1.783	1.707
0.944	1.476	1.645
0.069	2.43	1.541
0.944	2.307	1.397
0.841	1.81	1.304
0.12	1.446	1.239
0.137	2.128	1.14
1.459	1.675	1.054
0.052	1.984	1.045
0.309	1.51	0.995
0.446	1.639	0.924
0	1.75	0.865
0	1.963	0.797
2.489	2.101	0.875
0.034	2.32	0.979
0	2.502	0.961
0.429	1.864	0.852
0.223	1.99	0.766
0.206	2.007	0.705
0	1.945	0.653
1.734	1.255	0.728
3.622	1.34	1.288
2.077	1.459	1.725
3.176	1.351	2.204
0	1.772	2.195
0.069	1.527	1.882
0.172	1.523	1.491
0	2.053	1.186
0.017	2.038	0.975
0	1.11	0.829
0.103	1.423	0.728
0.017	1.781	0.657
0	1.855	0.6
1.717	1.33	0.657
0.326	1.085	0.728
0.223	1.681	0.727
0	1.547	0.655
0	1.684	0.561
0	1.49	0.481
0.446	1.342	0.431
0	1.643	0.418
0.12	1.388	0.398
0.858	1.25	0.384
0.584	1.004	0.415
0.343	1.422	0.439
0.017	1.279	0.422
0.017	1.321	0.369
0.532	1.216	0.323
0	1.381	0.314
0	1.355	0.294
0	1.623	0.261
0.017	1.503	0.233
0.034	0.888	0.215
0	1.933	0.203
0.292	1.147	0.197
0	1.798	0.205
0	1.536	0.2
0.343	1.248	0.189
0.12	1.688	0.196
0	1.709	0.196
0.36	1.015	0.185
0.034	1.239	0.187
0.12	1.255	0.18
1.717	1.255	0.272
0.069	1.179	0.365
0.017	1.322	0.367
0	1.358	0.299
0	1.229	0.229
0.549	1.265	0.189
0.052	1.185	0.193
0.24	1.407	0.19
0.017	0.886	0.179
2.043	1.002	0.341
0.24	0.942	0.456
0.017	0.979	0.463
0.017	1.013	0.376
0.309	1.405	0.287
0.069	1.262	0.239
0.154	1.203	0.207
0.017	1.326	0.183
0.36	1.778	0.164
0	1.809	0.161
0.275	1.069	0.152
0	1.341	0.146
0.172	0.998	0.132
0.017	1.904	0.122
0	1.624	0.108
0	1.772	0.093
0	1.4	0.08
0	1.601	0.071
1.391	1.334	0.107
0.79	1.419	0.2
0	1.197	0.261
0	1.54	0.228
0.103	1.54	0.163
0.189	1.407	0.12
0.429	1.131	0.109
0.704	1.531	0.129
0	1.785	0.161
0	1.61	0.147
0.223	1.763	0.111
0.258	1.243	0.096
0	1.112	0.095
0	1.426	0.082
0.103	1.239	0.065
1.391	1.958	0.078
0.309	1.795	0.159
0.017	1.613	0.189
0.137	1.508	0.153
0.034	1.237	0.11
0	1.427	0.077
0	1.728	0.053
0	2.317	0.039
0.12	1.469	0.032
0.309	1.005	0.04
0	2.032	0.058
0	2.311	0.057
1.116	1.641	0.062
0.395	1.751	0.124
3.313	1.757	0.402
2.455	1.673	0.75
1.871	1.73	0.957
0.515	0.998	0.945
1.339	1.796	0.791
1.116	1.272	0.66
4.584	1.459	1.023
1.94	1.464	1.342
0	2.003	1.35
1.888	2.174	1.111
0.927	2.012	0.921
0	1.43	0.769
0.292	1.261	0.591
0.807	1.709	0.457
0.858	1.681	0.408
1.013	1.636	0.408
0.052	1.846	0.408
0	2.202	0.346
0.052	2.003	0.258
0.24	1.968	0.195
7.777	1.682	1.005
0.464	1.748	1.597
1.562	1.347	1.725
1.202	2.181	1.476
0.017	2.209	1.179
0	2.113	0.88
0.017	2.158	0.635
0	2.763	0.471
0	2.368	0.369
0.069	2.192	0.305
0	2.516	0.266
0.24	2.606	0.239
0.652	2.424	0.237
0.017	2.074	0.258
0	2.876	0.243
0.052	2.957	0.205
1.442	2.588	0.195
5.116	2.08	0.676
1.974	2.635	1.058
2.712	2.393	1.264
0.343	2.488	1.215
0.36	2.336	0.983
0.154	2.673	0.719
0	3.216	0.512
4.515	2.19	0.696
0.103	2.352	0.902
0.103	2.368	0.888
9.94	2.973	1.612
2.403	1.959	2.341
4.446	2.344	2.788
2.335	2.636	2.639
1.648	2.678	2.266
0	3.08	1.813
0	3.312	1.345
2.438	3.118	1.005
3.159	2.991	0.99
6.077	2.712	1.541
1.099	2.511	1.85
1.288	3.222	1.755
0	2.96	1.428
2.215	2.631	1.092
6.558	2.412	1.478
0	2.895	1.768
0.052	3.454	1.639
1.459	2.761	1.274
0.944	2.902	1.026
0.464	4.32	0.878
0.584	3.367	0.748
0.034	3.192	0.637
5.03	3.341	0.791
13.356	3.124	2.341
0.034	2.751	3.459
0.618	3	3.375
2.85	2.931	2.64
0.704	2.835	2.04
0.429	2.572	1.587
1.202	3.025	1.24
25.132	3.075	3.871
1.288	3.285	6.632
1.013	4.078	6.921
0.275	3.613	5.348
2.232	2.925	3.709
0.154	3.557	2.669
0.79	3.494	2.014
0.549	3.947	1.602
0.979	3.602	1.344
2.918	3.87	1.225
5.373	3.089	1.564
5.459	3.403	2.134
0.412	4.703	2.332
1.167	4.014	2.063
0.618	3.766	1.647
0.412	4.142	1.293
6.867	3.096	1.521
5.15	3.723	2.067
5.768	3.077	2.726
2.712	2.558	2.921
3.056	3.093	2.708
4.79	3.203	2.589
1.579	3.411	2.398
1.82	3.703	2.091
0.069	3.699	1.733
0.034	3.955	1.351
1.94	3.347	1.056
1.665	3.076	0.974
3.948	3.565	1.081
2.815	3.641	1.247
3.983	3.063	1.472
9.957	3.428	2.349
2.832	4.059	2.897
3.021	4.267	2.861
2.043	4.586	2.446
0.858	4.195	1.968
0	5.026	1.513
0.292	4.179	1.121
0.927	3.869	0.864
1.133	3.789	0.759
1.974	4.037	0.755
1.013	3.038	0.803
2.352	3.625	0.819
3.004	3.614	0.881
10.094	3.365	1.744
2.592	4.223	2.391
4.704	3.807	2.625
11.811	3.696	3.458
2.609	3.741	3.905
0.086	4.047	3.606
3.193	3.746	2.789
8.927	4.356	2.815
1.064	3.599	2.926
2.317	4.239	2.676
0.601	3.607	2.21
2.901	4.059	1.764
16.205	3.676	3.109
1.511	2.919	4.304
7.536	2.774	5.035
1.648	3.193	4.669
0.069	4.34	3.828
5.871	3.423	3.27
2.111	3.889	2.909
1.253	3.55	2.585
0.326	3.45	2.162
30.694	3.294	5.618
4.309	3.646	10.154
2.026	4.034	10.816
5.442	3.694	9.077
7.056	3.265	7.834
6.506	2.994	7.531
10.094	3.986	8.428
3.691	4.307	8.306
2.832	3.902	7.351
1.408	3.47	6.017
5.39	3.588	5.335
2.661	4.17	4.732
5.974	2.915	5.023
5.15	2.933	5.501
6.472	3.029	6.324
7.605	3.471	7.453
3.21	3.31	7.436
2.077	2.868	6.605
7.124	3.412	6.677
5.459	3.094	7.076
3.313	4.097	6.724
4.274	3.747	6.227
1.081	4.279	5.45
2.867	3.316	4.617
1.425	3.593	3.955
1.391	3.344	3.419
5.236	3.609	3.558
4.584	3.396	3.986
0.464	3.601	3.961
10.163	3.6	5.526
3.124	3.4	6.051
4.892	3.825	6.207
0.738	3.486	5.575
1.03	2.657	4.65
4.841	2.848	4.466
4.841	3.027	4.81
0.172	3.632	4.669
1.476	3.261	4.107
0.275	3.334	3.469
0.017	3.879	2.902
0.824	4.68	2.451
7.519	4.61	3.006
4.223	3.563	3.638
0.223	3.611	3.739
6.3	3.242	4.133
8.515	3.69	5.381
0.721	3.76	5.695
3.365	3.453	5.216
13.871	3.459	7.246
0.36	3.198	8.107
1.768	3.575	7.489
0.755	4.37	6.083
0.669	3.874	4.774
0.206	3.33	3.81
2.317	3.881	3.163
0.137	3.572	2.809
1.15	3.062	2.504
2.232	3.438	2.279
5.562	2.52	2.882
2.266	2.928	3.142
5.785	2.564	3.84
4.12	2.761	4.292
3.004	2.947	4.249
2.043	3.032	3.84
0.635	3.129	3.299
0.721	2.877	2.74
7.141	2.398	3.389
19.93	2.918	7.832
1.562	2.415	10.878
8.566	2.363	12.528
0.532	2.572	11.277
1.133	2.454	9.061
5.528	2.314	8.02
1.15	2.182	6.942
1.768	2.476	5.919
4.721	2.521	5.757
0.378	1.957	5.305
0.103	2.957	4.629
0.79	1.896	3.89
2.18	2.187	3.377
1.219	2.279	3.066
0.154	2.208	2.796
0.034	2.175	2.471
0	3.504	2.151
0	3.055	1.891
0.034	2.39	1.694
0.309	2.584	1.551
0.772	2.091	1.463
2.197	2.139	1.494
0.309	2.171	1.551
0	2.696	1.49
4.566	2.532	1.851
0.017	2.574	2.028
1.202	2.623	1.949
0	2.287	1.742
0	2.258	1.496
0	2.715	1.275
0.875	2.529	1.126
0	2.456	1.066
0.395	2.154	1.003
0	2.208	0.94
0.258	1.689	0.872
4.738	1.866	1.395
1.717	1.129	1.861
3.313	1.678	2.31
5.905	1.48	3.229
0.893	1.602	3.46
0.052	2.006	3.128
0.498	1.79	2.514
0.034	2.127	1.983
0.069	1.84	1.597
0.069	1.54	1.33
6.283	1.394	2.083
3.056	1.409	2.879
0.017	1.731	3.018
0	1.642	2.615
0.154	1.92	2.073
2.197	1.618	1.798
0.069	1.902	1.648
1.064	0.977	1.513
1.185	1.841	1.379
3.536	2.312	1.559
2.678	1.889	1.848
0.858	1.485	1.895
0.481	1.79	1.708
7.279	1.696	2.493
0.412	1.862	2.855
0	2.021	2.687
0	1.614	2.167
0	2.006	1.673
0	1.753	1.324
0	1.858	1.098
0.326	1.647	0.953
0.086	1.698	0.866
0.069	1.537	0.795
1.545	1.029	0.839
2.627	1.542	1.102
1.906	1.746	1.317
0.069	1.026	1.348
0.395	0.793	1.181
0	1.221	0.972
2.06	1.112	0.981
6.85	1.314	1.981
4.721	1.082	3.242
0.154	1.05	3.55
0.154	1.197	3.087
0	1.41	2.38
0.086	1.404	1.797
0.052	1.286	1.409
0	1.07	1.158
0.635	1.445	0.997
1.185	1.154	0.945
0.944	0.97	0.952
0.824	0.909	0.942
2.3	0.919	1.15
2.523	1.349	1.448
0.017	1.114	1.505
0.069	1.574	1.326
0	1.796	1.064
0.017	0.965	0.847
0.069	1.316	0.701
0.498	1.351	0.616
1.013	1.473	0.595
0.841	1.368	0.624
0.532	0.781	0.642
0.343	1.458	0.615
0.103	1.168	0.554
0.086	1.034	0.48
0.017	1.166	0.414
0.052	1.124	0.363
0.034	1.316	0.328
0	1.671	0.303
0.017	1.829	0.282
0	1.158	0.265
0	0.924	0.25
0	1.339	0.237
0	1.215	0.225
0	1.861	0.215
0	1.082	0.205
0	1.094	0.196
0	1.539	0.188
0	1.71	0.18
0	1.642	0.172
0	1.336	0.165
0	1.639	0.158
0.275	1.74	0.156
0	1.215	0.167
0	1.352	0.164
0.017	1.316	0.152
4.343	1.44	0.579
3.176	1.104	1.228
0.017	1.043	1.47
0.052	1.808	1.299
0	0.983	0.975
0.034	1.121	0.705
0.189	1.04	0.533
0.069	1.228	0.437
0	1.478	0.373
0.034	0.881	0.321
0.258	0.992	0.284
0.275	1.499	0.271
0.086	0.755	0.266
0.069	1.495	0.247
0	1.471	0.22
0	1.232	0.192
0	1.65	0.168
0	1.314	0.151
0.086	1.296	0.139
0.052	1.443	0.136
0.017	1.061	0.132
0.052	1.542	0.126
0.034	1.33	0.12
0	2.159	0.114
0.961	1.877	0.121
0.772	1.065	0.182
2.523	1.174	0.435
2.249	1.03	0.774
0	1.888	0.884
0.446	1.781	0.768
0.258	1.648	0.592
0.498	2.032	0.455
0	1.578	0.373
3.176	1.651	0.529
1.305	1.744	0.691
0.412	1.7	0.751
0.429	1.566	0.656
0	1.836	0.514
1.013	1.218	0.394
2.266	1.798	0.452
1.459	2.188	0.563
0.395	1.526	0.613
0.584	1.248	0.542
2.558	1.267	0.624
2.317	1.988	0.775
0.24	1.897	0.845
0.223	1.906	0.734
0.258	1.893	0.554
0.79	1.577	0.42
0.446	1.147	0.367
0.154	1.759	0.334
0.017	1.268	0.282
0.618	1.701	0.231
0.258	1.983	0.222
0	2.033	0.213
0	1.844	0.179
0.446	2.216	0.148
0.824	2.113	0.16
0.017	2.114	0.198
0.772	2.18	0.2
0	2.363	0.205
0	2.75	0.178
0.618	2.139	0.143
2.455	2.173	0.227
0.669	2.537	0.374
0	2.6	0.414
0	2.737	0.327
0.223	2.482	0.22
0.017	2.264	0.157
