"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
0.378	2.886	3.295
0	2.59	2.575
0.429	3.162	1.968
0.481	2.866	1.577
2.523	2.252	1.437
3.862	2.981	1.624
1.511	2.68	1.768
0.515	2.148	1.706
3.142	2.654	1.602
0.223	2.875	1.51
0	3.309	1.324
0	2.531	1.073
0.275	2.609	0.869
2.18	2.8	0.78
0.669	2.34	0.834
7.828	2.232	1.715
1.116	2.536	2.246
3.09	1.642	2.512
2.97	1.784	2.536
2.695	1.823	2.498
1.391	2.477	2.274
1.064	2.321	1.958
0.189	2.169	1.623
0.549	2.078	1.309
0.017	2.108	1.073
0.052	2.498	0.89
2.712	2.027	0.899
2.867	2.184	1.128
4.807	2.06	1.724
0.858	2.494	1.96
0.635	2.146	1.818
0.12	1.704	1.478
0.378	2.077	1.146
0.292	1.619	0.916
0.515	1.712	0.775
4.944	1.877	1.17
13.373	1.669	3.283
0.24	1.686	4.644
2.609	1.9	4.706
0	1.716	3.831
1.785	1.707	2.917
0.772	2.234	2.27
0	1.249	1.83
1.665	1.558	1.529
4.378	0.931	1.936
2.369	1.722	2.277
0.086	1.474	2.252
0.052	1.202	1.913
0.172	1.233	1.51
0	1.355	1.202
0.017	1.77	0.989
0.326	1.551	0.848
0	1.917	0.763
0.618	1.47	0.699
1.236	1.595	0.686
0.927	0.941	0.731
1.253	1.213	0.775
0.875	1.412	0.787
0.103	1.152	0.751
2.695	1.479	0.858
3.845	1.06	1.359
0	0.939	1.571
0	1.799	1.429
0	0.96	1.121
0	1.935	0.855
0.034	0.996	0.678
0.378	1.153	0.576
1.785	1.63	0.588
0.721	1.503	0.662
0.378	0.99	0.681
0.154	1.058	0.619
0.326	1.718	0.529
0	1.564	0.456
2.18	1.073	0.568
0.069	0.949	0.657
0.343	1.804	0.641
0.481	1.367	0.562
0.017	1.48	0.492
0.206	1.449	0.42
1.596	1.037	0.463
1.871	0.731	0.692
0.79	1.176	0.802
1.425	1.34	0.823
0.772	0.995	0.782
1.373	0.978	0.774
1.614	1.698	0.755
0.069	1.559	0.732
0.189	1.202	0.622
0.12	0.93	0.487
0.052	1.047	0.383
0.378	0.833	0.316
0.069	1.183	0.288
0	1.322	0.263
0.275	1.957	0.234
0	1.484	0.221
1.202	1.253	0.226
2.009	1.052	0.426
0	1.225	0.552
0	1.307	0.519
0.069	1.417	0.403
0.189	1.582	0.305
0.429	1.365	0.257
0	0.923	0.243
0.481	1.058	0.226
0.069	1.51	0.221
0	1.033	0.204
0.378	1.103	0.178
0.103	1.595	0.174
0	1.186	0.165
0.034	1.508	0.144
0.378	1.385	0.13
0.36	1.077	0.143
1.991	1.344	0.27
0	1.171	0.381
0	1.337	0.373
0	0.667	0.286
0.875	1.649	0.217
0.017	1.602	0.217
0.79	0.787	0.218
0.429	1.051	0.232
0.498	0.706	0.239
0.858	1.09	0.242
0	1.176	0.251
0	1.302	0.213
0	1.033	0.154
0	1.507	0.109
0	1.952	0.081
0	1.286	0.067
0	1.367	0.059
0	1.367	0.055
0	1.763	0.051
0.227	1.833	0.052
0	1.712	0.064
0	2.144	0.065
0.021	1.373	0.057
0.68	1.653	0.06
0.247	1.658	0.1
0.021	1.566	0.12
0	2.294	0.103
0	1.464	0.075
2.06	1.754	0.128
2.863	1.961	0.393
2.74	1.333	0.793
2.245	1.561	1.064
2.266	1.706	1.181
0.968	1.286	1.116
0	1.684	0.93
0.041	1.654	0.676
0.062	1.742	0.46
0	1.918	0.32
0	1.357	0.236
1.133	1.864	0.203
0.041	2.395	0.239
0.33	2.501	0.24
0.433	1.805	0.221
0.968	1.807	0.221
0.577	1.489	0.253
1.112	1.824	0.278
0	1.776	0.296
3.279	1.387	0.489
1.219	1.496	0.646
0.601	1.837	0.694
3.794	1.455	0.89
1.631	1.831	1.003
5.425	1.582	1.477
1.734	1.859	1.71
0.429	1.711	1.61
0.052	2.122	1.262
0	1.969	0.892
0.069	2.01	0.619
2.094	1.775	0.526
1.871	1.79	0.606
0.223	2.144	0.681
0.635	1.846	0.622
1.116	2.091	0.529
1.82	1.867	0.513
0.189	1.678	0.539
0.052	2.718	0.476
0	1.75	0.358
0.258	2.444	0.259
1.854	1.346	0.29
8.291	1.654	1.144
0.635	2.425	1.77
0.36	2.325	1.795
0.052	2.633	1.396
0.223	3.011	0.977
0.034	2.445	0.69
13.476	2.394	1.79
0.772	2.19	2.825
0	2.607	2.919
0	2.847	2.256
0.412	2.822	1.564
0.12	2.776	1.111
0	2.593	0.84
0.206	2.594	0.666
0.704	1.924	0.57
0.944	1.978	0.547
0.086	2.701	0.549
0.979	2.019	0.512
7.605	2.384	1.081
3.433	2.024	1.798
6.386	2.361	2.549
1.785	2.567	2.704
0.893	2.345	2.401
0.034	2.302	1.863
0.017	3.207	1.343
0.034	3.026	0.963
0.721	2.922	0.736
0	3.627	0.634
0.996	3.578	0.567
0.052	3.726	0.545
0.052	2.774	0.495
0.618	2.93	0.432
3.674	3.339	0.508
6.249	2.667	1.108
0.412	3.317	1.517
0.532	3.683	1.454
0	3.807	1.125
0	3.743	0.797
1.94	3.477	0.595
0	3.656	0.572
0.549	3.215	0.527
5.15	3.003	0.723
9.579	2.688	1.732
2.438	3.388	2.456
1.614	2.588	2.492
5.562	2.894	2.381
1.785	3.314	2.187
0.206	4.257	1.883
3.88	2.936	1.597
4.051	2.535	1.645
4.669	3.063	1.911
0.137	2.885	1.949
1.339	4.07	1.658
1.167	2.857	1.316
4.36	3.55	1.214
6.335	3.523	1.609
0.738	3.581	1.876
2.918	2.758	1.796
1.476	3.394	1.566
0.292	3.615	1.307
0.223	3.138	1.011
1.064	3.34	0.77
2.146	3.757	0.679
0.172	3.166	0.702
3.794	2.938	0.775
1.185	3.603	0.89
0.343	3.254	0.891
2.644	3.271	0.778
3.45	3.751	0.798
0.549	3.405	0.901
1.528	4.374	0.843
3.519	4.086	0.777
1.064	3.196	0.833
3.485	3.296	0.867
1.064	3.6	0.903
